model,nobs,pseudo_r2,dispersion,status,term,estimate,std.error,statistic,p.value,conf.low,conf.high
col1_year_fe,66860,0.1640852769954947,6.393174396102163,estimated,log_N_o_occ,0.7816234703536415,0.12670132775905357,6.169023515207715,6.871300979490168e-10,0.5332934311524916,1.0299535095547916
col1_year_fe,66860,0.1640852769954947,6.393174396102163,estimated,log_N_d_occ,-0.009619060564192594,0.13917439016899041,-0.06911516229755198,0.944897952121101,-0.2823958528657391,0.2631577317373539
col1_year_fe,66860,0.1640852769954947,6.393174396102163,estimated,occ_similarity,1.8769339904133608,0.8105453915285211,2.315643281709185,0.02057775359699833,0.2882942151825427,3.465573765644179
col1_year_fe,66860,0.1640852769954947,6.393174396102163,estimated,log_N_o_occ:log_N_d_occ,-0.009255682281503974,0.04867864992929368,-0.1901384343022652,0.8492006531848876,-0.10466408295895281,0.08615271839594486
col2_year_kyoku_fe,50384,0.21779384539093505,6.053645596358031,estimated,log_N_o_occ,0.8070885091305335,0.143274008558153,5.633181602530142,1.7691498859473098e-8,0.5262766124358702,1.0879004058251969
col2_year_kyoku_fe,50384,0.21779384539093505,6.053645596358031,estimated,log_N_d_occ,-0.1158770468385848,0.16408406588992175,-0.7062053601007343,0.4800604375265086,-0.4374759064197285,0.2057218127425589
col2_year_kyoku_fe,50384,0.21779384539093505,6.053645596358031,estimated,occ_similarity,1.9133523369384327,0.7957143588091541,2.404571836308078,0.01619142360603759,0.3537808516911092,3.472923822185756
col2_year_kyoku_fe,50384,0.21779384539093505,6.053645596358031,estimated,log_N_o_occ:log_N_d_occ,0.01157967854231079,0.049456742383859574,0.2341375105629656,0.81487822592615,-0.08535375532272957,0.10851311240735115
col3_year_origin_kyoku_fe,50384,0.21779384539093505,6.053645596358031,estimated,log_N_o_occ,0.8070885091305335,0.143274008558153,5.633181602530142,1.7691498859473098e-8,0.5262766124358702,1.0879004058251969
col3_year_origin_kyoku_fe,50384,0.21779384539093505,6.053645596358031,estimated,log_N_d_occ,-0.1158770468385848,0.16408406588992175,-0.7062053601007343,0.4800604375265086,-0.4374759064197285,0.2057218127425589
col3_year_origin_kyoku_fe,50384,0.21779384539093505,6.053645596358031,estimated,occ_similarity,1.9133523369384327,0.7957143588091541,2.404571836308078,0.01619142360603759,0.3537808516911092,3.472923822185756
col3_year_origin_kyoku_fe,50384,0.21779384539093505,6.053645596358031,estimated,log_N_o_occ:log_N_d_occ,0.01157967854231079,0.049456742383859574,0.2341375105629656,0.81487822592615,-0.08535375532272957,0.10851311240735115
col4_year_destination_kyoku_fe,50384,0.21779384539093505,6.053645596358031,estimated,log_N_o_occ,0.8070885091305335,0.143274008558153,5.633181602530142,1.7691498859473098e-8,0.5262766124358702,1.0879004058251969
col4_year_destination_kyoku_fe,50384,0.21779384539093505,6.053645596358031,estimated,log_N_d_occ,-0.1158770468385848,0.16408406588992175,-0.7062053601007343,0.4800604375265086,-0.4374759064197285,0.2057218127425589
col4_year_destination_kyoku_fe,50384,0.21779384539093505,6.053645596358031,estimated,occ_similarity,1.9133523369384327,0.7957143588091541,2.404571836308078,0.01619142360603759,0.3537808516911092,3.472923822185756
col4_year_destination_kyoku_fe,50384,0.21779384539093505,6.053645596358031,estimated,log_N_o_occ:log_N_d_occ,0.01157967854231079,0.049456742383859574,0.2341375105629656,0.81487822592615,-0.08535375532272957,0.10851311240735115
col5_year_origin_ka_fe,18274,0.3504660862076098,5.413930527515074,estimated,log_N_o_occ,0.823523936455455,0.14963413659747943,5.503583307803355,3.7214855196562866e-8,0.5302464178666485,1.1168014550442615
col5_year_origin_ka_fe,18274,0.3504660862076098,5.413930527515074,estimated,log_N_d_occ,-0.12114400123241387,0.23592122837950255,-0.5134934319583221,0.607606204028067,-0.5835411120446876,0.34125310957985994
col5_year_origin_ka_fe,18274,0.3504660862076098,5.413930527515074,estimated,occ_similarity,2.2277246803441892,0.8209260933870539,2.7136726415319967,0.006654188571609102,0.6187391033363989,3.83671025735198
col5_year_origin_ka_fe,18274,0.3504660862076098,5.413930527515074,estimated,log_N_o_occ:log_N_d_occ,0.0041611678197539526,0.06597914334300017,0.06306792736185801,0.9497124136948137,-0.125155576863332,0.1334779125028399
col6_year_destination_ka_fe,14555,0.4180197448581896,38.18481039235298,estimated,log_N_o_occ,0.7054125860187583,0.13567073996655907,5.19944526131893,1.9988417975352827e-7,0.43950282192840373,0.9713223501091129
col6_year_destination_ka_fe,14555,0.4180197448581896,38.18481039235298,estimated,log_N_d_occ,-0.18204823249851732,0.12746950050312883,-1.42817090974675,0.1532426714782354,-0.4318838626119601,0.06778739761492544
col6_year_destination_ka_fe,14555,0.4180197448581896,38.18481039235298,estimated,occ_similarity,1.9139800586138358,0.868470285127381,2.2038520964860724,0.02753474739419074,0.2118095781209377,3.6161505391067337
col6_year_destination_ka_fe,14555,0.4180197448581896,38.18481039235298,estimated,log_N_o_occ:log_N_d_occ,0.04165237149017109,0.04283874670463405,0.9723060242018092,0.33089832775918543,-0.042310029193745546,0.12561477217408773
