diagnostic,n_cells,mean,median,sd,min,max,share_zero
N_office_occ_distribution,6040,15.99635761589404,4,42.294580992908706,1,1026,0
within_office_across_occupations_sd,1451,16.56592226952403,8.44195777505244,29.00698135408593,0,416.34961270547615,0.18883528600964852
within_origin_ka_panel_sd,1440,12.030109068262119,4.809610477073634,23.370828135491607,0,319.88984946302014,0.19375
