model,status,nobs,pseudo_r2,dispersion,warnings,errors
col1_year_fe,estimated,4978825,0.37247744972608865,87.2392592285996,col1_year_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col2_year_occ_pair_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col3_year_origin_kyoku_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col5_year_origin_ka_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).,
col2_year_occ_pair_fe,estimated,4126423,0.5585811465690302,30.888784482302356,col1_year_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col2_year_occ_pair_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col3_year_origin_kyoku_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col5_year_origin_ka_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).,
col3_year_origin_kyoku_fe,estimated,4978825,0.39495569946831954,81.00921560097578,col1_year_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col2_year_occ_pair_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col3_year_origin_kyoku_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col5_year_origin_ka_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).,
col4_year_destination_kyoku_fe,estimated,4958771,0.4384510431896834,71.33347404714043,col1_year_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col2_year_occ_pair_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col3_year_origin_kyoku_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col5_year_origin_ka_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).,
col5_year_origin_ka_fe,estimated,4530582,0.4133272506445258,69.98107511159265,col1_year_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col2_year_occ_pair_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col3_year_origin_kyoku_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col5_year_origin_ka_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).,
col6_year_destination_ka_fe,estimated,4086175,0.5398327815376796,67.94857349760446,col1_year_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col2_year_occ_pair_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col3_year_origin_kyoku_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | col5_year_origin_ka_fe: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).,
