model,nobs,pseudo_r2,dispersion,status,term,estimate,std.error,statistic,p.value,conf.low,conf.high
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,log_N_o_occ,1.0258557193510942,0.038746559550833545,26.476046679840643,1.8296544552647567e-154,0.949913858106624,1.1017975805955644
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,log_N_d_occ,-0.7064335499893205,0.14093247178798587,-5.012567657594594,5.37084814348762e-7,-0.9826561189459799,-0.43021098103266103
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,occ_similarity,-5.759309455402773,0.8285398666828797,-6.9511555049977165,3.62306224521259e-12,-7.383217753856835,-4.135401156948712
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,same_kyoku_diff_ka,-6.534273901743555,0.7855197054872965,-8.318408635834315,8.915218292413163e-17,-8.073864233645166,-4.9946835698419445
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,diff_kyoku,-7.9884549210073015,0.7452556576663922,-10.719079873907203,8.282315296032274e-27,-9.449129169308142,-6.527780672706461
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,D_dest_occ_any,-5.5026602564710565,1.4051735002146908,-3.9160005904113104,9.003002719312463e-5,-8.256749708921935,-2.748570804020177
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,log_N_o_occ:log_N_d_occ,-0.08750322860089388,0.0391608521260795,-2.234456704853477,0.025453038226284086,-0.1642570883719085,-0.010749368829879272
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,log_N_o_occ:D_dest_occ_any,-0.06972866465817192,0.10175414354133275,-0.685266095624381,0.4931760222874299,-0.269163121276903,0.1297057919605592
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,log_N_d_occ:D_dest_occ_any,0.901348707793827,0.21525064717363618,4.18743785270358,2.821212371302867e-5,0.47946519168456186,1.3232322239030923
col1_year_fe,4978825,0.37247744972608865,87.2392592285996,estimated,occ_similarity:D_dest_occ_any,5.616786802534193,1.0371705831024198,5.415489885697558,6.112112726116503e-8,3.5839698138290434,7.649603791239343
