model,nobs,pseudo_r2,dispersion,status,term,estimate,std.error,statistic,p.value,conf.low,conf.high
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,log_N_o_occ,0.8400198960211334,0.08110765451961673,10.356851039478226,3.8957692372951886e-25,0.6810518142921673,0.9989879777500994
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,log_N_d_occ,0.2800294354760644,0.0784756786405969,3.5683595265043055,3.59223361759408e-4,0.12621993167815532,0.4338389392739735
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,occ_similarity,1.797074289108551,0.35979740467383564,4.994683857538213,5.893222507678212e-7,1.09188433421685,2.502264244000252
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,same_kyoku_diff_ka,-2.3300962654679997,0.3270937886999203,-7.123633483623432,1.0511834858259187e-12,-2.971188310886598,-1.6890042200494015
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,diff_kyoku,-4.654281301413315,0.2721624340682112,-17.101115800010913,1.4559003645767946e-65,-5.187709870131766,-4.120852732694864
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,D_dest_occ_any,-2.920348580312236,3.62219917327885,-0.8062363334009345,0.4201065926297936,-10.019728504769539,4.179031344145067
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,log_N_o_occ:log_N_d_occ,0.0029091068399304983,0.02039983124077801,0.14260445616409673,0.8866025779448932,-0.037073827682689436,0.042892041362550426
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,log_N_o_occ:D_dest_occ_any,0.6920811286941131,0.28953900506397257,2.3902863399741268,0.016835241530085705,0.12459510664916662,1.2595671507390596
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,log_N_d_occ:D_dest_occ_any,-1.27991965088313,0.8374319786836931,-1.5283864044635072,0.1264166283570144,-2.9212561686052823,0.3614168668390223
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,occ_similarity:D_dest_occ_any,-1.8115140098294287,1.6795174013071514,-1.0785919862572104,0.28076965530816755,-5.103307627799749,1.4802796081408922
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,same_kyoku_diff_ka:D_dest_occ_any,12.153429356632968,1.160849810806141,10.469424419506204,1.1936657348956304e-25,9.878205535992796,14.428653177273139
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,diff_kyoku:D_dest_occ_any,11.85745700008404,1.380543467578993,8.588977658833166,8.774657739821534e-18,9.151641524537174,14.563272475630905
col1_year_fe,4787204,0.3364708112864986,2.3131118602603475,estimated,log_N_o_occ:log_N_d_occ:D_dest_occ_any,-0.26883673449163403,0.10321839891511365,-2.604542768704678,0.009199693833758895,-0.47114107890714496,-0.06653239007612313
col2_year_occ_pair_fe,2914299,0.41913005450728735,2.5654604041926063,estimated,log_N_o_occ,0.9338323978510941,0.1117296315948804,8.357965425296216,6.380913988681693e-17,0.7148463439192,1.1528184517829883
col2_year_occ_pair_fe,2914299,0.41913005450728735,2.5654604041926063,estimated,log_N_d_occ,0.16773196254719225,0.12062440892818092,1.3905308555506282,0.1643677363759832,-0.06868753460847404,0.40415145970285854
col2_year_occ_pair_fe,2914299,0.41913005450728735,2.5654604041926063,estimated,occ_similarity,1.0853114571638733,0.38062262635159205,2.8514107728355067,0.004352570023320754,0.339304817813707,1.8313180965140397
col2_year_occ_pair_fe,2914299,0.41913005450728735,2.5654604041926063,estimated,same_kyoku_diff_ka,-3.520402089186062,0.3394479385006835,-10.370963231461703,3.3611940664685555e-25,-4.185707823273768,-2.8550963550983552
col2_year_occ_pair_fe,2914299,0.41913005450728735,2.5654604041926063,estimated,diff_kyoku,-5.891420722891352,0.27204411475755075,-21.65612267753656,5.32186808502156e-104,-6.424617390022233,-5.358224055760472
col2_year_occ_pair_fe,2914299,0.41913005450728735,2.5654604041926063,estimated,D_dest_occ_any,-3.74940643636986,4.091000406234883,-0.9165011156331303,0.35940412257834237,-11.767619893328959,4.2688070205892394
