model,nobs,pseudo_r2,dispersion,status,term,estimate,std.error,statistic,p.value,conf.low,conf.high
col1_year_fe,44065,0.12634548383329103,6.9215715746973245,estimated,log_N_o_occ,1.1308252988150493,0.15471204655969345,7.309225906844535,2.686857228608404e-13,0.8275952595835663,1.4340553380465324
col1_year_fe,44065,0.12634548383329103,6.9215715746973245,estimated,same_kyoku_diff_ka,1.8787562738570172,0.7489538436256441,2.5085074198458774,0.012124242182449719,0.4108337142679115,3.3466788334461226
col2_year_occ_pair_fe,14222,0.16893529416177044,7.640685989002112,estimated,log_N_o_occ,1.040616813318383,0.16825460122297117,6.184774774387041,6.21911979468672e-10,0.7108438546882108,1.3703897719485554
col2_year_occ_pair_fe,14222,0.16893529416177044,7.640685989002112,estimated,same_kyoku_diff_ka,1.9339385968572367,0.742318085223006,2.6052694058723436,0.009180204483336967,0.4790218847474108,3.3888553089670626
col3_year_origin_kyoku_fe,38300,0.11500043923177217,7.513628936291874,estimated,log_N_o_occ,1.1141902380976176,0.15801604815508513,7.051120763405586,1.7748237268603048e-12,0.8044844747343041,1.4238960014609312
col3_year_origin_kyoku_fe,38300,0.11500043923177217,7.513628936291874,estimated,same_kyoku_diff_ka,1.3596261140373906,0.5476188380081352,2.4827964629244414,0.013035554673471792,0.2863129142857719,2.432939313789009
col4_year_destination_kyoku_fe,36856,0.16897734638536,5.762416997353946,estimated,log_N_o_occ,1.1309391061760892,0.1545510918663851,7.31757435368898,2.524932424812438e-13,0.8280245323466331,1.4338536800055453
col4_year_destination_kyoku_fe,36856,0.16897734638536,5.762416997353946,estimated,same_kyoku_diff_ka,1.8531112202323259,0.8643139352615407,2.1440256192000144,0.03203083408632691,0.1590870357836227,3.547135404681029
col5_year_origin_ka_fe,34410,0.1473226184456835,6.108237780872966,estimated,log_N_o_occ,1.3162414491670111,0.11980931988241862,10.986135723487756,4.45598327140857e-28,1.081419497185232,1.5510634011487903
col5_year_origin_ka_fe,34410,0.1473226184456835,6.108237780872966,estimated,same_kyoku_diff_ka,1.3596261140377341,0.5422790746825016,2.5072442908363746,0.012167658511186256,0.2967786580903251,2.422473569985143
col6_year_destination_ka_fe,25392,0.24531220883894433,4.58713502842715,estimated,log_N_o_occ,1.1309391070255528,0.15312481694801267,7.385733609787873,1.5161507955841764e-13,0.8308199806681595,1.431058233382946
col6_year_destination_ka_fe,25392,0.24531220883894433,4.58713502842715,estimated,same_kyoku_diff_ka,1.8531112475532452,0.8724211246012273,2.1241017615205946,0.033661635252462685,0.1431972639829091,3.5630252311235813
