model,sim_measure,status,nobs,pseudo_r2,dispersion,warnings,errors
within_dept_occ_similarity,occ_similarity,estimated,25128,0.32694851001405567,51.88048521371342,similarity_occ_similarity: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_overlap_top3: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_jaccard: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_share_overlap: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).,
within_dept_occ_overlap_any,occ_overlap_any,estimated,25128,0.3310755249802837,74.21266085529378,similarity_occ_similarity: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_overlap_top3: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_jaccard: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_share_overlap: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).,
within_dept_occ_overlap_top1,occ_overlap_top1,estimated,25128,0.3297719567068822,48.092889351130594,similarity_occ_similarity: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_overlap_top3: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_jaccard: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_share_overlap: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).,
within_dept_occ_overlap_top3,occ_overlap_top3,estimated,25128,0.3411678887741082,51.78362639246916,similarity_occ_similarity: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_overlap_top3: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_jaccard: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_share_overlap: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).,
within_dept_occ_jaccard,occ_jaccard,estimated,25128,0.327020063495539,50.960532667312805,similarity_occ_similarity: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_overlap_top3: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_jaccard: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_share_overlap: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).,
within_dept_occ_share_overlap,occ_share_overlap,estimated,25128,0.3269978254520035,52.654643096586106,similarity_occ_similarity: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_overlap_top3: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_jaccard: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov). | similarity_occ_share_overlap: The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).,
