measure,occ_similarity,occ_overlap_any,occ_overlap_top1,occ_overlap_top3,occ_jaccard,occ_share_overlap
occ_similarity,1,0.6882181823809803,0.739267931703932,0.7615557025264713,0.7996409320962662,0.9801756132821666
occ_overlap_any,0.6882181823809803,1,0.3783952397680738,0.8609446336850203,0.7509428754305579,0.6910408959149464
occ_overlap_top1,0.739267931703932,0.3783952397680738,1,0.43951170024542024,0.4921678554587212,0.7133070588587647
occ_overlap_top3,0.7615557025264713,0.8609446336850203,0.43951170024542024,1,0.7646801365065337,0.763509559464642
occ_jaccard,0.7996409320962662,0.7509428754305579,0.4921678554587212,0.7646801365065337,1,0.851777847275452
occ_share_overlap,0.9801756132821666,0.6910408959149464,0.7133070588587647,0.763509559464642,0.851777847275452,1
