lag_year,office_unit,pos_norm,n_position,office_total,position_share
1938,土木局 :: 道路建設課,技手,46,140,0.32857142857142857
1938,土木局 :: 道路建設課,書記,7,140,0.05
1938,土木局 :: 道路建設課,課長,1,140,0.007142857142857143
1938,土木局 :: 道路建設課,雇,52,140,0.37142857142857144
1938,土木局 :: 道路管理課,Unknown,1,37,0.02702702702702703
1938,土木局 :: 道路管理課,主事,1,37,0.02702702702702703
1938,土木局 :: 道路管理課,兼,17,37,0.4594594594594595
1938,土木局 :: 道路管理課,技師,1,37,0.02702702702702703
1938,土木局 :: 道路管理課,技手,3,37,0.08108108108108109
1938,土木局 :: 道路管理課,書記,4,37,0.10810810810810811
1938,土木局 :: 道路管理課,雇,10,37,0.2702702702702703
1938,土木局 :: 麹町区出張所,Unknown,1,14,0.07142857142857142
1938,土木局 :: 麹町区出張所,技手,4,14,0.2857142857142857
1938,土木局 :: 麹町区出張所,書記,3,14,0.21428571428571427
1938,土木局 :: 麹町区出張所,雇,6,14,0.42857142857142855
1938,土木局 :: 麻布区出張所,所長,3,12,0.25
1938,土木局 :: 麻布区出張所,技手,2,12,0.16666666666666666
1938,土木局 :: 麻布区出張所,書記,1,12,0.08333333333333333
1938,土木局 :: 麻布区出張所,雇,6,12,0.5
1938,市会事務局 :: 事務所,書記,9,13,0.6923076923076923
1938,市会事務局 :: 事務所,雇,4,13,0.3076923076923077
1938,市会事務局 :: 古石場,書記,462,462,1
1938,市会事務局 :: 大場,書記,8,8,1
1938,市会事務局 :: 福室,書記,503,503,1
1938,市会事務局 :: 診療所,Unknown,29,416,0.06971153846153846
1938,市会事務局 :: 診療所,主事,6,416,0.014423076923076924
1938,市会事務局 :: 診療所,囑託員,19,416,0.04567307692307692
1938,市会事務局 :: 診療所,所長,4,416,0.009615384615384616
1938,市会事務局 :: 診療所,技師,2,416,0.004807692307692308
1938,市会事務局 :: 診療所,技手,6,416,0.014423076923076924
1938,市会事務局 :: 診療所,書記,259,416,0.6225961538461539
1938,市会事務局 :: 診療所,看護婦,7,416,0.016826923076923076
1938,市会事務局 :: 診療所,看護婦長,1,416,0.002403846153846154
1938,市会事務局 :: 診療所,臨時,75,416,0.18028846153846154
1938,市会事務局 :: 診療所,醫員,6,416,0.014423076923076924
