model,sim_measure,nobs,pseudo_r2,dispersion,status,term,estimate,std.error,statistic,p.value,conf.low,conf.high
within_dept_occ_similarity,occ_similarity,25128,0.32694851001405567,51.88048521371342,estimated,log_N_o,2.3242977819658615,0.14087061635991344,16.499521632158277,3.698105701987943e-61,2.048196447420472,2.6003991165112508
within_dept_occ_similarity,occ_similarity,25128,0.32694851001405567,51.88048521371342,estimated,log_N_d,1.195558144438893,0.21164899119344682,5.648777902022481,1.6159246250017446e-8,0.7807337443355022,1.6103825445422837
within_dept_occ_similarity,occ_similarity,25128,0.32694851001405567,51.88048521371342,estimated,occ_similarity,-0.002565718194929456,0.7258863163996497,-0.003534600579957556,0.9971798026409577,-1.425276755208689,1.42014531881883
within_dept_occ_similarity,occ_similarity,25128,0.32694851001405567,51.88048521371342,estimated,log_N_o:log_N_d,-0.29262375634272786,0.02249252813829473,-13.009820618808975,1.0759435594751847e-38,-0.33670830141503927,-0.24853921127041645
within_dept_occ_overlap_any,occ_overlap_any,25128,0.3310755249802837,74.21266085529378,estimated,log_N_o,2.488925283252498,0.4657079753014295,5.344390509184518,9.072179387897554e-8,1.5761544243486272,3.4016961421563687
within_dept_occ_overlap_any,occ_overlap_any,25128,0.3310755249802837,74.21266085529378,estimated,log_N_d,1.3781607845795172,0.4923841488151068,2.7989544096737866,0.005126837550893107,0.4131055863434978,2.3432159828155363
within_dept_occ_overlap_any,occ_overlap_any,25128,0.3310755249802837,74.21266085529378,estimated,occ_overlap_any,0.8326318613206523,1.233303128911033,0.6751234484062644,0.4995973371960484,-1.5845978533655312,3.2498615760068357
within_dept_occ_overlap_any,occ_overlap_any,25128,0.3310755249802837,74.21266085529378,estimated,log_N_o:log_N_d,-0.3414810641135353,0.10365021296504126,-3.2945524600968135,9.857854229490919e-4,-0.5446317485149227,-0.1383303797121479
within_dept_occ_overlap_top1,occ_overlap_top1,25128,0.3297719567068822,48.092889351130594,estimated,log_N_o,2.3387804986047724,0.1496544515862462,15.627871231461015,4.702525972816423e-55,2.0454631633696367,2.632097833839908
within_dept_occ_overlap_top1,occ_overlap_top1,25128,0.3297719567068822,48.092889351130594,estimated,log_N_d,1.1844915060607253,0.21271089872790286,5.568551085743435,2.5686632232141438e-8,0.767585805434889,1.6013972066865616
within_dept_occ_overlap_top1,occ_overlap_top1,25128,0.3297719567068822,48.092889351130594,estimated,occ_overlap_top1,0.47204912589238557,0.33124755452429067,1.4250644855938697,0.1541385614351915,-0.17718415094219186,1.121282402726963
within_dept_occ_overlap_top1,occ_overlap_top1,25128,0.3297719567068822,48.092889351130594,estimated,log_N_o:log_N_d,-0.2955055749842077,0.022027946418034842,-13.415030587793229,4.937293567435359e-41,-0.33867955661693405,-0.25233159335148136
within_dept_occ_overlap_top3,occ_overlap_top3,25128,0.3411678887741082,51.78362639246916,estimated,log_N_o,2.1742590733422995,0.0435954060849695,49.873582301414196,0,2.088813647524361,2.259704499160238
within_dept_occ_overlap_top3,occ_overlap_top3,25128,0.3411678887741082,51.78362639246916,estimated,log_N_d,1.1289226906765215,0.16037010930980392,7.039483202544073,1.9295414103392595e-12,0.8146030522325542,1.4432423291204888
within_dept_occ_overlap_top3,occ_overlap_top3,25128,0.3411678887741082,51.78362639246916,estimated,occ_overlap_top3,-1.1741813825250955,0.7871921623854552,-1.4916070543270321,0.13580218779813397,-2.717049669712793,0.36868690466260223
within_dept_occ_overlap_top3,occ_overlap_top3,25128,0.3411678887741082,51.78362639246916,estimated,log_N_o:log_N_d,-0.2458745767563726,0.03348937094234708,-7.341869071821408,2.1063139605079753e-13,-0.311512537668275,-0.18023661584447012
within_dept_occ_jaccard,occ_jaccard,25128,0.327020063495539,50.960532667312805,estimated,log_N_o,2.334960643534737,0.1249389300681395,18.688815745911146,6.105321465657055e-78,2.0900848403342156,2.579836446735259
within_dept_occ_jaccard,occ_jaccard,25128,0.327020063495539,50.960532667312805,estimated,log_N_d,1.1984181863165588,0.208419796744139,5.750020895509101,8.923242007453328e-9,0.7899228910328882,1.6069134816002295
within_dept_occ_jaccard,occ_jaccard,25128,0.327020063495539,50.960532667312805,estimated,occ_jaccard,0.18131865445979667,1.2258540364091524,0.14791210786475567,0.8824121326220692,-2.2213111072051936,2.583948416124787
within_dept_occ_jaccard,occ_jaccard,25128,0.327020063495539,50.960532667312805,estimated,log_N_o:log_N_d,-0.29585041776799326,0.027843239483780678,-10.625574583026982,2.2661232382220315e-26,-0.350422164369127,-0.24127867116685953
within_dept_occ_share_overlap,occ_share_overlap,25128,0.3269978254520035,52.654643096586106,estimated,log_N_o,2.3212812315749174,0.14164572441745024,16.387937165923688,2.332258157752707e-60,2.0436607131526294,2.5989017499972054
within_dept_occ_share_overlap,occ_share_overlap,25128,0.3269978254520035,52.654643096586106,estimated,log_N_d,1.1986785076399968,0.21434132329349162,5.592381763915303,2.239756732892887e-8,0.7785772335860972,1.6187797816938965
within_dept_occ_share_overlap,occ_share_overlap,25128,0.3269978254520035,52.654643096586106,estimated,occ_share_overlap,-0.11328863729990579,1.029546558052295,-0.11003741056084557,0.9123797057106497,-2.1311628114895793,1.9045855368897675
within_dept_occ_share_overlap,occ_share_overlap,25128,0.3269978254520035,52.654643096586106,estimated,log_N_o:log_N_d,-0.29145234298042055,0.022203627698129204,-13.126338945278626,2.326342967418543e-39,-0.33497065359488976,-0.24793403236595135
