dest_draft_wage_group,n,n_donor_offices,promotion_rate,rank_change,dest_pos_year_wage_rank
high,155,31,0.07741935483870968,0.07096774193548387,0.6452732266235331
low,45,24,0.26666666666666666,0.15555555555555556,0.3349620005933666
