model,outcome,variable,coef,se,pval
A_Retention_NoSal,left_draft,lag_decor_rank_ext,0.46297108953261956,0.29876689838310255,0.12123602259034882
A_Retention_NoSal,left_draft,lag_court_rank_ext,0.030898475665882153,0.10421716806162618,0.7668622952562423
A_Retention_NoSal,left_draft,female,0.5448107915296527,0.4927247359423103,0.26885195157278474
A_Retention_NoSal,left_draft,own_tenure,-0.010701120172244704,0.02515909809877653,0.6705903044809876
A_Retention_NoSal,left_draft,log_salary,-0.31089960027437347,0.1473265858480562,0.034834681904864606
A_Retention_NoSal,left_nondraft,lag_decor_rank_ext,0.21245452254901345,0.17648439041548386,0.22866116498615185
A_Retention_NoSal,left_nondraft,lag_court_rank_ext,-0.07385781670278012,0.05633791267880538,0.1898648808949699
A_Retention_NoSal,left_nondraft,female,0.7153414722890893,0.24428497065182914,0.003408129763330603
A_Retention_NoSal,left_nondraft,own_tenure,0.03773376286715637,0.0117562551958029,0.0013288495260190825
A_Retention_NoSal,left_nondraft,log_salary,-0.26529912378449655,0.08845367043157297,0.0027060041514426203
A_Retention_Sal,left_draft,lag_decor_rank_ext,0.46297108953261956,0.29876689838310255,0.12123602259034882
A_Retention_Sal,left_draft,lag_court_rank_ext,0.030898475665882153,0.10421716806162618,0.7668622952562423
A_Retention_Sal,left_draft,female,0.5448107915296527,0.4927247359423103,0.26885195157278474
A_Retention_Sal,left_draft,own_tenure,-0.010701120172244704,0.02515909809877653,0.6705903044809876
A_Retention_Sal,left_draft,log_salary,-0.31089960027437347,0.1473265858480562,0.034834681904864606
A_Retention_Sal,left_nondraft,lag_decor_rank_ext,0.21245452254901345,0.17648439041548386,0.22866116498615185
A_Retention_Sal,left_nondraft,lag_court_rank_ext,-0.07385781670278012,0.05633791267880538,0.1898648808949699
A_Retention_Sal,left_nondraft,female,0.7153414722890893,0.24428497065182914,0.003408129763330603
A_Retention_Sal,left_nondraft,own_tenure,0.03773376286715637,0.0117562551958029,0.0013288495260190825
