draftee_wage_group,n_transferees,n_salary_change,current_salary_mean,baseline_salary_mean,salary_change_mean,salary_change_median,log_salary_change_mean,share_salary_increase,pos_rank_change_mean,share_pos_rank_boost,court_rank_change_mean,share_court_rank_boost
High-wage draftee,155,20,91.72903225806452,84.4,-23.45,4.5,-0.8122117836730073,0.55,0.07096774193548387,0.07741935483870968,-0.12258064516129032,0.0064516129032258064
Low-wage draftee,45,9,57.955555555555556,90.55555555555556,-50.44444444444444,-42,-1.6052132305484372,0.2222222222222222,0.15555555555555556,0.26666666666666666,-0.17777777777777778,0
Low minus high,-110,-11,-33.773476702508965,6.1555555555555515,-26.994444444444444,-46.5,-0.79300144687543,-0.32777777777777783,0.08458781362007169,0.18924731182795698,-0.05519713261648747,-0.0064516129032258064
