dest_draft_wage_group,n,tenure,baseline_court_rank,baseline_decoration_rank,origin_position_rank,destination_position_rank,position_rank_change
high,155,7.896774193548387,0.12903225806451613,0.0064516129032258064,1.8387096774193548,1.9096774193548387,0.07096774193548387
low,45,7.444444444444445,0.17777777777777778,0,1.711111111111111,1.8666666666666667,0.15555555555555556
