label_type,label,parent_ka,kyoku,source_type,confidence,source_document,notes
kakari,福利係,人事課,長官官房,documentary,high,東京都訓令甲第4号(1943-07-01),人事課配下
kakari,作業第一係,清掃課,民生局,documentary,high,東京都訓令甲第4号(1943-07-01),清掃課配下
kakari,作業第二係,清掃課,民生局,documentary,high,東京都訓令甲第4号(1943-07-01),清掃課配下
kakari,行政係,監理課,民生局,documentary,high,東京都訓令甲第4号(1943-07-01);東京都訓令甲第186号(1943-11-01),監理課配下
