variable,n_pairs,share_pairs_varying,mean_distinct_values,median_distinct_values,mean_sd,median_sd,mean_range,median_range
log_N_d,59910,0.055900517442830915,1.0741779335670172,1,0.7252278637602003,0.26957805180482797,0.0658833325110381,0
log_N_o,59910,0.055900517442830915,1.0741779335670172,1,0.7252278637602003,0.26957805180482797,0.0658833325110381,0
occ_similarity,59910,0.05641796027374395,1.0754798864964112,1,0.19428614141335174,0.15568143303542506,0.017946774368016803,0
