office_id,kyoku_assigned
5,区部
9,区部
35,区部
36,区部
37,建築局
71,区部
139,建築局
181,建設局
191,経済局
242,区部
349,民生局
380,経済局
428,建築局
443,建築局
459,建築局
474,建設局
517,建築局
583,建築局
802,建設局
824,建築局
1080,区部
1083,建設局
1086,区部
1089,区部
1090,区部
1091,区部
1101,建築局
1117,民生局
1141,衛生局
1151,財務局
1152,衛生局
1173,総務局
1183,建築局
1190,衛生局
1196,民生局
1199,衛生局
1203,交通局
1210,建築局
1213,建築局
1217,建築局
1222,区部
1230,建築局
1234,建築局
1241,区部
1251,建築局
1253,区部
1254,区部
1255,区部
1256,区部
1263,経済局
1272,区部
1278,区部
1281,区部
1293,区部
1308,区部
1317,衛生局
1325,建築局
1329,区部
1330,区部
1332,区部
1334,総務局
1339,区部
1369,衛生局
1383,建築局
1394,総務局
1433,建築局
1434,建築局
1435,水道局
1449,建設局
1450,区部
1453,建築局
1457,区部
1458,建築局
1463,建築局
1464,建築局
1471,区部
1472,区部
1473,区部
1474,建築局
1475,区部
1480,建築局
1482,建築局
1483,建築局
1487,区部
1491,建築局
1499,区部
1500,区部
1502,区部
1503,区部
1504,区部
1507,建築局
1510,建設局
1513,建築局
1521,区部
1540,区部
1541,区部
1542,区部
1543,区部
1544,建築局
1548,衛生局
1563,区部
1592,建築局
1593,財務局
1594,財務局
1599,区部
1611,区部
1618,建築局
1628,区部
1630,建築局
1633,区部
1645,区部
1646,区部
1647,区部
1654,労働局
1657,区部
1659,区部
1660,区部
1673,建築局
1705,区部
1707,区部
1711,衛生局
1718,区部
1719,区部
1721,建設局
1743,区部
1763,財務局
1766,区部
1778,民生局
1785,区部
1796,労働局
1805,区部
1807,財務局
1808,財務局
1809,財務局
1810,総務局
1820,区部
1827,区部
1833,区部
1849,総務局
1854,区部
1855,区部
1856,区部
1861,区部
1862,建設局
1863,区部
1871,民生局
1876,民生局
1879,区部
1882,経済局
1896,経済局
1898,財務局
1906,建築局
1908,区部
1909,総務局
1915,区部
1916,区部
1917,区部
1919,財務局
1932,交通局
1936,水道局
1947,建築局
1960,建築局
1996,建築局
2017,区部
2021,衛生局
2022,建築局
2077,区部
2098,建築局
2099,建築局
2103,建築局
2114,区部
2127,衛生局
2128,建築局
2130,建築局
2137,建築局
2140,建築局
2147,建築局
2164,衛生局
2179,民生局
2186,労働局
2187,建築局
2190,建築局
2201,建築局
2207,衛生局
2218,労働局
2222,区部
2230,区部
2232,建築局
2238,区部
2239,区部
2241,民生局
2266,区部
2267,区部
2309,区部
2310,建築局
2316,建築局
2322,区部
2323,区部
2324,区部
2325,区部
2326,区部
2327,建築局
2328,区部
2329,区部
2330,区部
2332,区部
2333,区部
2334,区部
2335,区部
2336,建築局
2338,区部
2339,建築局
2340,建築局
2342,区部
2343,建築局
2349,区部
2350,区部
2351,区部
2353,建築局
2354,建築局
2355,区部
2356,区部
2358,区部
2359,区部
2361,区部
2364,区部
2366,区部
2367,区部
2369,建築局
2370,建築局
2371,区部
2373,区部
2374,区部
2375,区部
2376,区部
2377,区部
2378,区部
2379,建築局
2380,建築局
2381,区部
2382,区部
2383,建築局
2384,建築局
2385,区部
2386,区部
2387,区部
2389,建築局
2390,区部
2391,区部
