ka,n_staff,is_hq,looks_ward
第十二出張所,2,FALSE,TRUE
第十二田張所,2,FALSE,FALSE
経務課,2,FALSE,FALSE
経済第二課,2,FALSE,FALSE
荻〓出張所,2,FALSE,TRUE
鍋横出張所,2,FALSE,TRUE
馬橋出張所,2,FALSE,TRUE
鹿本出張所,2,FALSE,TRUE
上板橋民生導務所,1,FALSE,FALSE
上練馬民生事務所,1,FALSE,FALSE
下富氷福出張所,1,FALSE,TRUE
下小岩出張所,1,FALSE,TRUE
下小松民生紅務所,1,FALSE,FALSE
五出張所,1,FALSE,TRUE
八出張所,1,FALSE,TRUE
六出強所,1,FALSE,FALSE
共同作藁所,1,FALSE,FALSE
北多摩地方事務所,1,FALSE,TRUE
千歳民生尋務所,1,FALSE,FALSE
南中町〓所,1,FALSE,FALSE
南多摩地方事務所,1,FALSE,TRUE
品第一出張所,1,FALSE,TRUE
城東支所,1,FALSE,TRUE
大井民生区務所,1,FALSE,FALSE
大泉北出張所,1,FALSE,TRUE
大泉東出張所,1,FALSE,TRUE
大泉西出張所,1,FALSE,TRUE
富圓寺中央出張所,1,FALSE,TRUE
川弟二田張所,1,FALSE,FALSE
式生澤務所,1,FALSE,FALSE
新宿支所,1,FALSE,TRUE
方南和泉出張所,1,FALSE,TRUE
松江北出張所,1,FALSE,TRUE
梅島支所,1,FALSE,TRUE
江出張所,1,FALSE,TRUE
江戸川区役所小岩支所,1,FALSE,TRUE
爾五出張所,1,FALSE,TRUE
王子民生〓務所,1,FALSE,FALSE
町方町出張所,1,FALSE,TRUE
發谷民生導務所,1,FALSE,FALSE
石〓井出張所,1,FALSE,TRUE
石神井支所,1,FALSE,TRUE
砧民生導務所,1,FALSE,FALSE
第一田張所,1,FALSE,FALSE
第十一田張所,1,FALSE,FALSE
第十五田張所,1,FALSE,FALSE
第十六出張所,1,FALSE,TRUE
第十四田張所,1,FALSE,FALSE
第四張出所,1,FALSE,FALSE
第四由張所,1,FALSE,FALSE
篠崎出張所,1,FALSE,TRUE
経馬北民生敬務所,1,FALSE,FALSE
練馬南民生尋務所,1,FALSE,FALSE
荏原第五出張所,1,FALSE,TRUE
蒲田支所,1,FALSE,TRUE
西原出張所,1,FALSE,TRUE
西小岩出張所,1,FALSE,TRUE
西小松川出張所,1,FALSE,TRUE
警第二出張所,1,FALSE,TRUE
露宮出張所,1,FALSE,TRUE
