model,sample,nobs,pseudo_r2,dispersion,status,term,estimate,std.error,statistic,p.value,conf.low,conf.high
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,log_N_o,1.8853841588665408,0.7503677489099916,2.512613530639224,0.01198405381455079,0.4146903958425632,3.3560779218905186
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,I(I(log_N_o^2)),-0.12359112982980715,0.09326581411895517,-1.3251493164705965,0.18512163187752087,-0.3063887664917665,0.059206506832152214
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,log_N_d,-0.2278089731943211,0.6456042939369018,-0.35286161404711175,0.7241921895965162,-1.493170137575059,1.0375521911864167
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,I(I(log_N_d^2)),-0.0015215199948070562,0.08633635528684444,-0.01762316685424059,0.9859394750686042,-0.17073766691347642,0.16769462692386228
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,occ_similarity,0.1649398630015086,0.5179687452832493,0.31843593750297006,0.7501542816917751,-0.8502602228710607,1.180139948874078
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,D_origin,5.689870430745091,227.8442995409658,0.024972625789665928,0.9800767982523925,-440.87675075230374,452.2564916137939
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,D_destination,7.120388307517457,2.454780697448479,2.9006209454549046,0.0037242408572448595,2.3091065505743247,11.93167006446059
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,log_N_o:D_origin,-1.1563811315686514,44.818716036927924,-0.025801299854638027,0.979415825061153,-88.99945039727511,86.68668813413781
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,log_N_d:D_origin,-0.08697218510167017,2.241934372531045,-0.038793367980474114,0.9690551324409642,-4.481082810964923,4.307138440761582
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,occ_similarity:D_origin,-0.47152802926411624,1.8184004388679278,-0.2593092363955175,0.7953966534734779,-4.035527398917083,3.0924713403888497
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,same_department:D_origin,5.441701692090164,55.155175667550765,0.09866166912222636,0.9214069039338428,-102.66045617728925,113.54385956146957
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,log_N_o:D_destination,-5.119902781205218e-4,0.026370752135840423,-0.01941508059698749,0.9845099800995408,-0.05219771470960045,0.0511737341533594
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,log_N_d:D_destination,-1.3383275087250899,0.4642987634944495,-2.88247054257143,0.0039457002683626055,-2.248336363240691,-0.42831865420948867
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,occ_similarity:D_destination,-0.20479497509859518,0.06660896156920008,-3.074585915677931,0.002107949975176405,-0.3353461408218399,-0.07424380937535047
draft_pair_year_fe,full_panel,1017,0.5930372248893712,1.9167592938774765,estimated,same_department:D_destination,0.00499469469573257,0.16770277471755474,0.029783017628328703,0.9762401027283982,-0.323696703858109,0.3336860932495741
