model,nobs,pseudo_r2,term,estimate,std.error,statistic,p.value,conf.low,conf.high
baseline_year_fe_no_pair_fe,288546,0.3608580852583656,log_N_o,0.2626811454817809,0.30306413895305845,0.8667509999342665,0.38607845519146466,-0.331313651871856,0.8566759428354178
baseline_year_fe_no_pair_fe,288546,0.3608580852583656,I(I(log_N_o^2)),0.09644216872200373,0.03423694281459698,2.8169036366437905,0.0048489071603915876,0.029338993864636273,0.16354534357937117
baseline_year_fe_no_pair_fe,288546,0.3608580852583656,log_N_d,-0.5059061149431612,0.4020047043732355,-1.258458195736585,0.20822609668054656,-1.293820857130374,0.28200862724405173
baseline_year_fe_no_pair_fe,288546,0.3608580852583656,I(I(log_N_d^2)),0.03807120347649152,0.08184969728045555,0.4651355440697804,0.6418343934773878,-0.12235125533870733,0.19849366229169035
baseline_year_fe_no_pair_fe,288546,0.3608580852583656,occ_similarity,0.23926365037505687,0.7242292118922822,0.3303700630217656,0.7411203590781313,-1.1801995214856433,1.6587268222357572
baseline_year_fe_no_pair_fe,288546,0.3608580852583656,same_department,2.9377973612878496,0.24621062944882743,11.932049269621169,8.056541186293856e-33,2.455233394957211,3.420361327618488
baseline_no_fe,325622,0.27760640305342243,(Intercept),-9.364339172903367,1.3197537331939986,-7.095520124228242,1.288659001058158e-12,-11.951008958425888,-6.777669387380847
baseline_no_fe,325622,0.27760640305342243,log_N_o,0.8588891174830716,0.7754279304479174,1.1076324230247212,0.26802059485584356,-0.6609216988012759,2.378699933767419
baseline_no_fe,325622,0.27760640305342243,I(I(log_N_o^2)),0.033641615961334075,0.09676400664868365,0.3476666285995685,0.7280905615056574,-0.15601235206988015,0.2232955839925483
baseline_no_fe,325622,0.27760640305342243,log_N_d,-0.4051765116116921,0.38282124267304696,-1.058396103577089,0.2898748950975215,-1.155492359767732,0.3451393365443478
baseline_no_fe,325622,0.27760640305342243,I(I(log_N_d^2)),0.04688735509846169,0.06424465759239331,0.7298249668625091,0.46549718128577194,-0.07902985998173691,0.1728045701786603
baseline_no_fe,325622,0.27760640305342243,occ_similarity,0.7268491242880288,0.5552774828764789,1.308983610361373,0.19053990256830608,-0.36147474357592624,1.815172992151984
baseline_no_fe,325622,0.27760640305342243,same_department,2.7843723968585863,0.26615718340076144,10.461383612803218,1.2994410437876804e-25,2.262713903166472,3.3060308905507005
