model,nobs,pseudo_r2,dispersion,status,term,estimate,std.error,statistic,p.value,conf.low,conf.high
col1_dist_full_year_fe,4445908,0.33326301136991443,2.612385223306213,estimated,log_N_o_occ,0.7783250843914313,0.0749645208938638,10.382579320334735,2.976235498122342e-25,0.6313973233211579,0.9252528454617047
col1_dist_full_year_fe,4445908,0.33326301136991443,2.612385223306213,estimated,log_N_d_occ,0.23943570798576896,0.05971390371685375,4.00971454020331,6.079219657621662e-5,0.12239860732444317,0.35647280864709474
col1_dist_full_year_fe,4445908,0.33326301136991443,2.612385223306213,estimated,occ_similarity,1.7879100784783057,0.35875520516975035,4.983649164427676,6.239617077884492e-7,1.0847627970793174,2.491057359877294
col1_dist_full_year_fe,4445908,0.33326301136991443,2.612385223306213,estimated,same_kyoku_diff_ka,-2.333818704865897,0.3256394624330751,-7.166879245618272,7.672665140451013e-13,-2.9720603231797083,-1.695577086552086
col1_dist_full_year_fe,4445908,0.33326301136991443,2.612385223306213,estimated,diff_kyoku,-4.65918935103417,0.2710481562560257,-17.189526080499178,3.1812205396067504e-66,-5.190433975371965,-4.127944726696375
col1_dist_full_year_fe,4445908,0.33326301136991443,2.612385223306213,estimated,log_N_o_occ:log_N_d_occ,0.0066280420999378364,0.018590896688810945,0.35652083978966803,0.7214505481593583,-0.02980944585043655,0.043065530050312224
col2_dist_full_year_occ_fe,2684319,0.4155909572115801,2.8505221447118294,estimated,log_N_o_occ,0.8610034313005124,0.09892695580213628,8.703425919853478,3.2201261734231833e-18,0.6671101608281396,1.0548967017728852
col2_dist_full_year_occ_fe,2684319,0.4155909572115801,2.8505221447118294,estimated,log_N_d_occ,0.12957568755491256,0.09889508242837672,1.3102338799176976,0.19011672764943316,-0.06425511225282571,0.3234064873626508
col2_dist_full_year_occ_fe,2684319,0.4155909572115801,2.8505221447118294,estimated,occ_similarity,1.0898922708747996,0.38149053887316703,2.856931325463756,0.0042775837719822825,0.3421845542406149,1.8375999875089843
col2_dist_full_year_occ_fe,2684319,0.4155909572115801,2.8505221447118294,estimated,same_kyoku_diff_ka,-3.519283499460122,0.3389354284031462,-10.383345040206642,2.9524530488184446e-25,-4.183584732214943,-2.854982266705301
col2_dist_full_year_occ_fe,2684319,0.4155909572115801,2.8505221447118294,estimated,diff_kyoku,-5.889094133230847,0.27183551045270676,-21.664182591241758,4.467705143905171e-104,-6.421881943437214,-5.35630632302448
col2_dist_full_year_occ_fe,2684319,0.4155909572115801,2.8505221447118294,estimated,log_N_o_occ:log_N_d_occ,-0.04136473663271012,0.0269866440663045,-1.5327854968212995,0.1253287152382309,-0.09425758706626848,0.011528113800848241
col3_dist_full_origin_kyoku_fe,4406699,0.35177772795696827,2.8672650755938007,estimated,log_N_o_occ,0.7728424041491633,0.0773842053037906,9.987082003558498,1.7361736721513033e-23,0.6211721487814803,0.9245126595168462
col3_dist_full_origin_kyoku_fe,4406699,0.35177772795696827,2.8672650755938007,estimated,log_N_d_occ,0.21764101835421457,0.06166890715634021,3.5291855878434975,4.168406949748054e-4,0.09677218136184339,0.33850985534658573
col3_dist_full_origin_kyoku_fe,4406699,0.35177772795696827,2.8672650755938007,estimated,occ_similarity,1.53628414283719,0.36591496179939886,4.198473151473397,2.6872070599879925e-5,0.8191039963060187,2.2534642893683614
col3_dist_full_origin_kyoku_fe,4406699,0.35177772795696827,2.8672650755938007,estimated,same_kyoku_diff_ka,-2.32411309725229,0.3455675353646277,-6.725496059113272,1.7499522896688092e-11,-3.0014130207932315,-1.6468131737113483
col3_dist_full_origin_kyoku_fe,4406699,0.35177772795696827,2.8672650755938007,estimated,diff_kyoku,-4.859648341864601,0.297592263906454,-16.329888008756157,6.049529448152296e-60,-5.442918461198989,-4.276378222530212
col3_dist_full_origin_kyoku_fe,4406699,0.35177772795696827,2.8672650755938007,estimated,log_N_o_occ:log_N_d_occ,0.011832817360398984,0.018983437867659516,0.6233232064123411,0.5330721508667555,-0.025374037162967503,0.04903967188376547
col4_dist_full_destination_kyoku_fe,3590943,0.3571090758179969,2.026435058539356,estimated,log_N_o_occ,0.7805848215343696,0.07588654528807505,10.286208425632891,8.131556636197036e-25,0.6318499258585748,0.9293197172101644
col4_dist_full_destination_kyoku_fe,3590943,0.3571090758179969,2.026435058539356,estimated,log_N_d_occ,0.22170791754482622,0.06436847305528469,3.444355707403624,5.724220794350815e-4,0.09554802861663136,0.34786780647302107
col4_dist_full_destination_kyoku_fe,3590943,0.3571090758179969,2.026435058539356,estimated,occ_similarity,1.4043563004446977,0.3838428909135766,3.658674769518899,2.535228257625754e-4,0.652038058532351,2.1566745423570444
col4_dist_full_destination_kyoku_fe,3590943,0.3571090758179969,2.026435058539356,estimated,same_kyoku_diff_ka,-2.37549921861689,0.35843419512419966,-6.6274346893542475,3.415706779155206e-11,-3.0780173318879234,-1.6729811053458565
col4_dist_full_destination_kyoku_fe,3590943,0.3571090758179969,2.026435058539356,estimated,diff_kyoku,-4.942869990972683,0.2866656355211179,-17.242631758031408,1.2711591732354044e-66,-5.50472431219936,-4.381015669746007
col4_dist_full_destination_kyoku_fe,3590943,0.3571090758179969,2.026435058539356,estimated,log_N_o_occ:log_N_d_occ,0.01027962944179639,0.019247759589432426,0.5340688818370426,0.5932938782477952,-0.027445286136576617,0.0480045450201694
col5_dist_full_origin_ka_fe,2778413,0.38949615288453665,3.7390824525944315,estimated,log_N_o_occ,0.8553782421485221,0.07391987631590355,11.571694715680836,5.7338760288116495e-31,0.7104979468276958,1.0002585374693482
