"outcome","nobs","pseudo_r2","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"internal_transfers",257,0.483071419509625,"n_drafted_male",0.00312830924950885,0.00811046975704062,0.385712460957418,0.699709633155015,-0.0127679193719921,0.0190245378710098
"internal_transfers",257,0.483071419509625,"log_nearby_slack",0.0472631591122369,0.0443650014466016,1.06532531434995,0.286728741139863,-0.0396906458971697,0.134216964121643
"internal_transfers",257,0.483071419509625,"log_far_slack",0.030576969677942,0.0226768289168838,1.34837943126944,0.17753637609974,-0.0138687982827266,0.0750227376386106
"internal_transfers",257,0.483071419509625,"log_section_size",0.853305196174373,0.0525469744455976,16.2389025282095,2.67670043707826e-59,0.750315018764455,0.95629537358429
"internal_transfers",257,0.483071419509625,"n_drafted_male:log_nearby_slack",-0.000485153415427972,0.00189405210267506,-0.256145760057375,0.797838288862829,-0.00419742732151345,0.0032271204906575
"external_hires",257,0.539771016419112,"n_drafted_male",0.0491985497716488,0.0322446199906916,1.52579096251875,0.127061932138496,-0.0139997441052871,0.112396843648585
"external_hires",257,0.539771016419112,"log_nearby_slack",-0.156323298210256,0.126997046914264,-1.2309207340529,0.218352512012271,-0.405232936305156,0.0925863398846442
"external_hires",257,0.539771016419112,"log_far_slack",0.0365799937928971,0.0401032560195348,0.912145232673341,0.361692269808446,-0.0420209436681801,0.115180931253974
"external_hires",257,0.539771016419112,"log_section_size",1.34350859032526,0.108495069495887,12.3831303723549,3.22513424943485e-35,1.13086216161316,1.55615501903737
"external_hires",257,0.539771016419112,"n_drafted_male:log_nearby_slack",-0.00974339470149159,0.00775297553076196,-1.25672971142913,0.208851525561744,-0.0249389475148053,0.00545215811182216
