term,estimate,std.error,statistic,p.value,outcome,n
any_slack_same_section,-10.65540734672591,4.047373072446067,-2.6326723916968238,0.009187676091767181,transfers_in,205
log_slack_same_section,7.816495829699596,2.1547331555145277,3.627593425986476,3.699109889576858e-4,transfers_in,205
log_slack_same_department,0.23655917899701617,0.8374198774863442,0.2824857462269562,0.7778868699530573,transfers_in,205
log_slack_different_department,-0.26182277736498794,0.4643583515890399,-0.5638377698366515,0.5735473982332353,transfers_in,205
n_drafted_male,0.7045007454373833,0.1670537106879861,4.217210994811194,3.8668776969495865e-5,transfers_in,205
log_section_size,4.702840770537147,1.32403328616833,3.5519052426143123,4.8519891522807697e-4,transfers_in,205
any_slack_same_section,0.8647447246825313,3.437343683679997,0.25157354174044694,0.8016499480279097,new_hires,205
log_slack_same_section,-3.885932030577167,2.264184951973488,-1.716260867819189,0.08778820611345134,new_hires,205
log_slack_same_department,-0.4440313827469413,0.994787330494821,-0.4463581000032177,0.6558606106508407,new_hires,205
log_slack_different_department,-0.03383059434805774,0.5540254906838584,-0.061063245133900115,0.9513747578192095,new_hires,205
n_drafted_male,0.533460792840882,0.16902843530809933,3.156041714925111,0.0018672761499945077,new_hires,205
log_section_size,-0.05541085758297193,1.257312729038959,-0.044070863440097224,0.9648954496909056,new_hires,205
any_slack_same_section,0.05437529855099144,0.053553715285129075,1.0153412935309551,0.31129847535970895,transfer_share,200
log_slack_same_section,0.03852940195651067,0.023734615246907224,1.6233421757924347,0.10625661297527701,transfer_share,200
log_slack_same_department,-0.01272246996284529,0.017453382636527466,-0.7289400701167782,0.466980464528712,transfer_share,200
log_slack_different_department,0.005622082007776684,0.01079375621129079,0.5208642753942984,0.603097945740143,transfer_share,200
n_drafted_male,-0.002670689234196377,0.0011665603930645955,-2.2893707433186394,0.02321228615608309,transfer_share,200
log_section_size,0.009112355917242115,0.022646906750661507,0.4023664696272901,0.68788912164001,transfer_share,200
