lag_kyoku_raw,n_transfers,share
告補助局,87,0.7631578947368421
総局,11,0.09649122807017543
九(計会局,6,0.05263157894736842
八王子郵便局,5,0.043859649122807015
四保第・新込雨院,4,0.03508771929824561
日大参保療院,1,0.008771929824561403
