variant,n_events_total,n_events_usable,median_candidates_usable,share_same_section_feasible,share_chosen_same_section
exact_pos,672,72,52,0.3055555555555556,0.2361111111111111
occ_rank,672,290,107,0.28620689655172415,0.19655172413793104
