"model","nobs","r2","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"share_baseline",238,0.187514526751978,"n_drafted_male:log_nearby_slack",0.000844869291178937,0.00108235903074861,0.780581366420147,0.43590334577787,-0.00128846844581809,0.00297820702817597
"share_no_size",238,0.186767160878473,"n_drafted_male:log_nearby_slack",0.00096936085570524,0.00105931206401592,0.915085260173784,0.36116729520594,-0.00111855113765463,0.00305727284906511
"share_no_department_fe",238,0.176252831739306,"n_drafted_male:log_nearby_slack",0.000681077812244231,0.00115838054896106,0.587956878985135,0.557175439263632,-0.00160209890518266,0.00296425452967112
"share_slack_rate",238,0.189806300309772,"n_drafted_male:log_nearby_slack_rate",0.00988239664029288,0.00694819529432397,1.42229690181073,0.156382528085433,-0.00381254820176597,0.0235773414823517
"share_slack_rate_with_size",238,0.19162517322473,"n_drafted_male:log_nearby_slack_rate",0.00976910770426358,0.00683459387853904,1.42936184327485,0.154344926833832,-0.00370192789845287,0.02324014330698
