event_origin_id,event_id,chosen_distance,n_candidates,n_selected,salary_candidate_share,any_selected_with_salary,all_candidates_with_salary,usable_salary,drop_reason_salary
evt_40||7506,evt_40,different_department,40,1,0.425,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_410||2071,evt_410,same_department,36,1,0.3333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_410||8164,evt_410,same_department,14,5,0.5,TRUE,FALSE,FALSE,candidate_missing_salary
evt_413||8164,evt_413,same_department,7,5,0.7142857142857143,TRUE,FALSE,FALSE,candidate_missing_salary
evt_414||1896,evt_414,same_section,15,1,0.4,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_417||1449,evt_417,same_section,84,1,0.4880952380952381,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_419||1449,evt_419,same_section,84,4,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
evt_41||2109,evt_41,different_department,10,1,0.2,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_421||1449,evt_421,same_section,84,4,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
evt_424||1449,evt_424,different_department,84,1,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
evt_424||7506,evt_424,different_department,40,1,0.425,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_425||1449,evt_425,different_department,84,1,0.4880952380952381,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_425||8358,evt_425,different_department,18,1,0.5555555555555556,TRUE,FALSE,FALSE,candidate_missing_salary
evt_427||1449,evt_427,same_department,84,1,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
evt_427||1794,evt_427,same_department,12,4,0.08333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_427||2158,evt_427,same_department,6,1,0.3333333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_427||2159,evt_427,same_department,8,1,0.75,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_432||6843,evt_432,different_department,23,3,0.6086956521739131,FALSE,FALSE,FALSE,selected_worker_missing_salary
