event_origin_id,event_id,origin_office_id,chosen_distance,n_candidates,n_selected,n_exact_pos,salary_candidate_share,any_selected_with_salary,all_candidates_with_salary,usable,usable_salary,drop_reason,drop_reason_salary
evt_209||8358,evt_209,8358,different_department,61,1,1,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_210||1794,evt_210,1794,different_department,12,3,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_210||2071,evt_210,2071,different_department,44,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_210||6953,evt_210,6953,different_department,71,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_210||7525,evt_210,7525,different_department,18,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_211||1794,evt_211,1794,different_department,12,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_217||1278,evt_217,1278,same_department,18,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_217||6328,evt_217,6328,different_department,27,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_218||2174,evt_218,2174,same_section,27,2,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_219||7525,evt_219,7525,different_department,18,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_224||1193,evt_224,1193,same_department,23,3,7,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_228||2056,evt_228,2056,different_department,68,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_229||1130,evt_229,1130,same_department,15,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_230||1989,evt_230,1989,different_department,7,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_230||6701,evt_230,6701,same_department,32,6,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_231||6650,evt_231,6650,same_department,15,0,0,0,FALSE,FALSE,FALSE,FALSE,selected_worker_not_in_candidates,selected_worker_not_in_candidates
evt_232||8690,evt_232,8690,different_department,19,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_234||1449,evt_234,1449,different_department,115,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_234||2071,evt_234,2071,different_department,44,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_236||7484,evt_236,7484,different_department,3,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_238||1555,evt_238,1555,different_department,37,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
evt_238||6701,evt_238,6701,different_department,32,1,0,0,FALSE,FALSE,TRUE,FALSE,usable,selected_worker_missing_salary
