term,estimate,std.error,statistic,p.value,specification,n
any_slack_same_section,-10.65540734672591,4.047373072446067,-2.6326723916968238,0.009187676091767181,baseline_transfers,205
log_slack_same_section,7.816495829699596,2.1547331555145277,3.627593425986476,3.699109889576858e-4,baseline_transfers,205
log_slack_same_department,0.23655917899701617,0.8374198774863442,0.2824857462269562,0.7778868699530573,baseline_transfers,205
log_slack_different_department,-0.26182277736498794,0.4643583515890399,-0.5638377698366515,0.5735473982332353,baseline_transfers,205
any_slack_same_section,-10.242117155856846,4.098825703301851,-2.49879304397018,0.013333004653685452,sizectrl_transfers,205
log_slack_same_section,6.97131811821704,2.212595302091927,3.1507425292035633,0.0018997058934155009,sizectrl_transfers,205
log_slack_same_department,0.18142431724066588,0.846852319895636,0.214233713456703,0.8306007530577011,sizectrl_transfers,205
log_slack_different_department,-0.20101984998958722,0.47579865075848876,-0.42248932330752476,0.6731585179949261,sizectrl_transfers,205
log_pool_same_section,0.6936360611474974,0.7978120006463076,0.8694229474933728,0.3857424317624658,sizectrl_transfers,205
log_pool_same_department,14.576148332325147,11.842896925045423,1.2307924678040074,0.21996302382359972,sizectrl_transfers,205
log_pool_different_department,-11.33199350607515,7.163936059906386,-1.5818110897856381,0.1154008149796539,sizectrl_transfers,205
any_slack_same_section,0.05437529855099144,0.053553715285129075,1.0153412935309551,0.31129847535970895,baseline_share,200
log_slack_same_section,0.03852940195651067,0.023734615246907224,1.6233421757924347,0.10625661297527701,baseline_share,200
log_slack_same_department,-0.01272246996284529,0.017453382636527466,-0.7289400701167782,0.466980464528712,baseline_share,200
log_slack_different_department,0.005622082007776684,0.01079375621129079,0.5208642753942984,0.603097945740143,baseline_share,200
any_slack_same_section,0.12042849199126646,0.06013387964884358,2.002672914079682,0.04670495639141654,sizectrl_share,200
log_slack_same_section,0.015710389690637375,0.028591116103930718,0.5494850090331908,0.5833499656986955,sizectrl_share,200
log_slack_same_department,-0.01335134656991305,0.017560125311818026,-0.7603218275969561,0.4480515056014214,sizectrl_share,200
log_slack_different_department,0.008010011845930766,0.010806742599676667,0.7412050182605832,0.4595297027839138,sizectrl_share,200
log_pool_same_section,0.006709270093745209,0.02565428497819733,0.2615262947085518,0.7939840324532147,sizectrl_share,200
log_pool_same_department,0.9924678808444175,0.487040900594247,2.037750586518484,0.04303038687835884,sizectrl_share,200
log_pool_different_department,2.38153423254297,1.300846243226567,1.8307576663602516,0.06878110833189159,sizectrl_share,200
