has_origin_kyoku_string,has_dest_kyoku_string,origin_norm_present,dest_norm_present,origin_group_assigned,dest_group_assigned,n_transfers,share
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1061,0.3883601756954612
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,599,0.2192532942898975
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,488,0.17862371888726208
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,380,0.1390922401171303
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,82,0.030014641288433383
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,59,0.021595900439238654
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,56,0.020497803806734993
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,0.002562225475841874
