term,estimate,std.error,statistic,p.value,specification,sample,n_event_origins,n_rows
female,0.35440468747494547,0.2769774027286255,1.2795436883426228,0.20070566524438027,full,occ_rank_worker_pool,335,8385
own_tenure,-0.012734508356334915,0.011004662467754419,-1.1571920895937742,0.24719388889415453,full,occ_rank_worker_pool,335,8385
lag_pos_rank,0.442118844066916,2.452675228950881,0.1802598398875786,0.8569485822979716,full,occ_rank_worker_pool,335,8385
lag_court_rank_ext,-0.0051922279740377626,0.05679705342683712,-0.09141720671700176,0.9271610900136276,full,occ_rank_worker_pool,335,8385
exact_pos_match,0.26782907608001183,0.236802262041494,1.1310241455087162,0.2580449288463258,full,occ_rank_worker_pool,335,8385
lag_posrank_x_dest_rank,-0.44392937550484185,1.403036056443279,-0.3164062487675553,0.7516941745890828,full,occ_rank_worker_pool,335,8385
female,0.7611386083241417,0.6982735083654495,1.0900293355047217,0.2757002219358591,same_section_origin,occ_rank_worker_pool,54,1576
own_tenure,-0.05999962319354733,0.025746487487796524,-2.3304003399293327,0.019785001829698088,same_section_origin,occ_rank_worker_pool,54,1576
lag_pos_rank,-13.252355827012664,3090.598384851345,-0.004287957921666387,0.9965787150612233,same_section_origin,occ_rank_worker_pool,54,1576
lag_court_rank_ext,0.02284588451507936,0.08867605796589925,0.25763306397612806,0.7966901095211302,same_section_origin,occ_rank_worker_pool,54,1576
exact_pos_match,0.5797203571329874,0.4858686892667549,1.1931626176773564,0.23280569187044006,same_section_origin,occ_rank_worker_pool,54,1576
lag_posrank_x_dest_rank,NA,0,NA,NA,same_section_origin,occ_rank_worker_pool,54,1576
female,0.2847540235861163,0.3019855106362037,0.9429393582036926,0.34571192183569976,cross_section_origin,occ_rank_worker_pool,281,6809
own_tenure,-0.0011052607133056533,0.01225449647631084,-0.09019225844507216,0.9281344361211854,cross_section_origin,occ_rank_worker_pool,281,6809
lag_pos_rank,0.33687187667151286,2.534462560876068,0.1329164935681942,0.8942594226618296,cross_section_origin,occ_rank_worker_pool,281,6809
lag_court_rank_ext,-0.031091688533990948,0.0739707909742394,-0.42032386195273674,0.674248880425752,cross_section_origin,occ_rank_worker_pool,281,6809
exact_pos_match,0.1839744636300324,0.2723164390014129,0.6755907366616154,0.499300524478997,cross_section_origin,occ_rank_worker_pool,281,6809
lag_posrank_x_dest_rank,-0.3817773384580816,1.443196502736684,-0.2645359365367989,0.7913669773862797,cross_section_origin,occ_rank_worker_pool,281,6809
