year_num,gov_level,office_id,office,office_norm,ward_current,historical_ward_guess,ward_assignment_method,ward_jp,historical_wards,slug,distance_to_yurakucho_km,central_hq,ward_guess_jp,ward_centroid_lat,ward_centroid_lon
1941,TokyoFu,1436,○工業組合監査指導係,工業組合監査指導係,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,0,千代田区,35.694,139.7536
1941,TokyoFu,1445,○府立協同組合講習所,府立協同組合講習所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,1446,○府立農會技術員養成所,府立農会技術員養成所,NA,NA,unassigned,NA,NA,NA,NA,0,NA,NA,NA
1941,TokyoFu,1447,○府費係,府費係,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,0,千代田区,35.694,139.7536
1941,TokyoFu,1448,○庶務係,庶務係,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,1,千代田区,35.694,139.7536
1941,TokyoFu,1449,○庶務課,庶務課,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,1,千代田区,35.694,139.7536
1941,TokyoFu,1476,○技術係,技術係,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,0,千代田区,35.694,139.7536
1941,TokyoFu,1518,○新宿出張所,新宿出張所,Shinjuku,Yotsuya/Ushigome/Yodobashi,name_keyword,新宿区,Yotsuya; Ushigome; Yodobashi,shinjuku-ku,5.837560049760066,0,新宿区,35.6938,139.7034
1941,TokyoFu,1555,○會計課,会計課,Chiyoda,Kojimachi/Kanda,central_admin_fallback,千代田区,Kojimachi; Kanda,chiyoda-ku,2.3114399109721178,1,千代田区,35.694,139.7536
1941,TokyoFu,1570,○本田出張所,本田出張所,Katsushika,Katsushika,name_keyword,葛飾区,Katsushika,katsushika-ku,10.717065821617748,0,葛飾区,35.7434,139.8472
